Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US
2010,640590,1939211,1126614,1428842,7656711,1520724,770893,190374,256515,4323763,3157029,294541,1497877,519712,3996494,2853078,1106999,2006852,4119147,1434452,1483129,416076,2784241,1860041,1926538,1149135,404984,2750544,471447,864840,298376,2293141,650794,692728,3894831,3788958,1569956,982586,3760200,195572,1654573,375369,2256820,11613222,753481,2524756,155576,2004183,1810211,751123,540857,97512536
2011,640731,1913489,1128390,1470742,7659022,1482132,744433,183642,277371,4175877,3042171,299651,1506850,518757,3978739,2824247,1095177,1937809,4132145,1412179,1429512,416165,2822326,1853104,1868319,1124621,404197,2624425,522735,860618,296253,2280288,668957,683912,3777159,3755314,1568068,1007579,3754524,185660,1612057,376513,2201541,11833262,790651,2421275,151413,2048341,1797683,737915,557587,96866635
2012,630464,1887539,1072394,1439496,7453762,1449604,729271,172778,277310,4074454,2854691,294151,1438785,511427,3854423,2741595,1065088,1903707,4001492,1377238,1388230,399681,2718554,1815512,1788656,1108609,397117,2533963,547332,849979,287475,2176363,666339,680934,3603676,3614723,1553220,978338,3646995,183503,1565564,373499,2086273,11864601,786427,2357496,129223,2008228,1737952,730491,550865,94363473
2013,597975,1928525,1103707,1458318,7538821,1481200,747660,174798,276458,4133132,2914969,299747,1520770,528033,4018706,2871204,1093301,1844625,3914901,1445156,1411332,412187,2868866,1888740,1851262,1086745,406459,2553147,589103,869060,305894,2221466,669707,700886,3741854,3685297,1607154,997524,3860962,196930,1596802,388780,2141266,12635929,822442,2423875,137147,2032101,1833064,750915,539824,97101305
2014,594764,1964943,1119467,1468498,7457136,1497768,752569,179278,277183,4178123,2985778,291683,1538035,521585,4098836,2910850,1130157,1783589,3935179,1456044,1423010,413206,2913600,1942341,1911606,1098099,405599,2597588,638943,874345,313889,2234475,679084,701721,3863760,3793565,1672131,994091,3989359,203922,1637758,390085,2209079,12635568,794953,2465790,140039,2006565,1889229,780675,536078,98270056
2015,611996,1914197,1060614,1490141,7535674,1504228,757383,178219,281784,4329841,2985813,296393,1503705,536733,3933371,2826459,1098318,1734381,3906579,1471553,1421189,423064,2830749,1816000,1830761,1081172,403707,2591178,605407,853197,316118,2186578,678029,690778,3860779,3708809,1614426,972180,3903406,202747,1655921,386363,2184369,12766646,798820,2418404,140301,1994002,1814011,768163,506948,97363821
2016,592550,1920148,1052290,1520608,7662178,1473860,725276,174551,279071,4369245,2959871,299928,1529418,537930,3936742,2776746,1089488,1707881,4026806,1430044,1383579,391030,2809836,1840793,1781020,1067915,406787,2615664,581309,865222,306904,2142131,671325,720894,3790288,3668710,1616178,988552,3767761,185262,1650101,384537,2211934,12994812,808333,2378417,134889,2054215,1800265,761782,504910,97330844
2017,600982,1901427,1056516,1527349,7782184,1480979,729157,166877,277278,4349501,2933159,308132,1565571,554504,3900625,2673583,1072725,1666542,4204237,1435225,1344018,383934,2801626,1863854,1741452,1064632,423278,2570568,631417,867770,317571,2091516,682298,751047,3797280,3616754,1638461,1041787,3772021,182373,1639905,390600,2150054,13180174,828158,2360871,133993,2072728,1817097,752340,534838,97602434
2018,603064,1953765,1115392,1537185,7880187,1530859,756938,174538,298329,4445760,3010509,305778,1625135,553974,4026485,2804834,1133167,1749373,4242464,1473403,1389336,387529,2914235,1940743,1860252,1102466,436659,2680610,659879,902782,325414,2196920,700836,771292,3965002,3762765,1707289,1022289,3938509,195590,1667954,403020,2237640,14017426,845147,2461091,138563,2051060,1895417,830786,557583,101161574
2019,615132,1922823,1094729,1550215,7802260,1576477,736036,167662,296506,4376356,2963080,307504,1634313,563361,3958520,2777494,1123158,1723046,4294532,1467898,1352642,383725,2882342,1900223,1804258,1086332,446174,2652806,667931,900586,319803,2100601,735591,773979,3855941,3634494,1675635,1028091,3815486,190281,1628499,401702,2170424,14227415,854638,2419077,136864,2076024,1846661,827056,540819,100266080
